Date,Statement
	The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 6 percent. 





	In a related action the Board of Governors approved a 25-basis-point decrease in the discount rate to 5-3/4 percent the level requested by seven Reserve Banks.   The Board also indicated that it stands ready to approve a further reduction of 25 basis points in the discount rate to 5-1/2 percent on the requests of Federal Reserve Banks. 





	These actions were taken in light of further weakening of sales and production and in the context of lower consumer confidence tight conditions in some segments of financial markets and high energy prices sapping household and business purchasing power.   Moreover inflation pressures remain contained.   Nonetheless to date there is little evidence to suggest that longer-term advances in technology and associated gains in productivity are abating. 





	The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 





	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Cleveland Atlanta

St.  Louis Kansas City Dallas and San Francisco. 









 

"

20/03/2001,"







The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 4-1/2 percent. 



Persistent pressures on profit margins are restraining investment spending and through declines in equity wealth consumption.  The associated backup in inventories has induced a rapid response in manufacturing output and with spending having firmed a bit since last year inventory adjustment appears to be well underway. 



Although current developments do not appear to have materially diminished the prospects for long-term growth in productivity excess productive capacity has emerged recently.   The possibility that this excess could continue for some time and the potential for weakness in global economic conditions suggest substantial risks that demand and production could remain soft.   In these circumstances when the economic situation could be evolving rapidly the Federal Reserve will need to monitor developments closely. 



The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 



In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of all twelve Reserve Banks. 



  



 

"

18/04/2001,"







The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 4-1/2 percent.   In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 4 percent.   





The FOMC has reviewed prospects for the economy in light of the information that has become available since its March meeting.   A significant reduction in excess inventories seems well advanced.   Consumption and housing expenditures have held up reasonably well though activity in these areas has flattened recently.   Although measured productivity probably weakened in the first quarter the impressive underlying rate of increase that developed in recent years appears to be largely intact. 



  

Nonetheless capital investment has continued to soften and the persistent erosion in current and expected profitability in combination with rising uncertainty about the business outlook seems poised to dampen capital spending going forward.   This potential restraint together with the possible effects of earlier reductions in equity wealth on consumption and the risk of slower growth abroad threatens to keep the pace of economic activity unacceptably weak.   As a consequence the Committee agreed that an adjustment in the stance of policy is warranted during this extended intermeeting period.  





The Committee continues to believe that against the

background of its long-run goals of price stability and

sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.  



 

In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Cleveland Atlanta Minneapolis Dallas and San Francisco. 













 

"

15/05/2001,"







The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 4 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 3-1/2 percent.  



 A significant reduction in excess inventories seems well advanced.  Consumption and housing expenditures have held up reasonably well though activity in these areas has flattened recently.  Investment in capital equipment however has continued to decline.  The erosion in current and prospective profitability in combination with considerable uncertainty about the business outlook seems likely to hold down capital spending going forward.  This potential restraint together with the possible effects of earlier reductions in equity wealth on consumption and the risk of slower growth abroad continues to weigh on the economy.    



With pressures on labor and product markets easing inflation is expected to remain contained.   Although measured productivity growth stalled in the first quarter the impressive underlying rate of increase that developed in recent years appears to be largely intact supporting longer-term prospects. 



The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.   



In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of New York Richmond Chicago 

St.  Louis and San Francisco. 



 

"

11/06/2001,"







The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 2 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 1-1/2 percent. 



Heightened uncertainty and concerns about a deterioration in business conditions both here and abroad are damping economic activity.  For the foreseeable future then the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness.  



Although the necessary reallocation of resources to enhance security may restrain advances in productivity for a time the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate. 



	In taking the discount rate action the Federal Reserve Board approved the request submitted by the Board of Directors of the Federal Reserve Bank of Richmond. 





 

"

27/06/2001,"









The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-3/4 percent.   In a related action the Board of Governors approved a 25 basis point reduction in the discount rate to 3-1/4 percent.   Today's action by the FOMC brings the decline in the target federal funds rate since the beginning of the year to 275 basis points.   



The patterns evident in recent months--declining profitability and business capital spending weak expansion of consumption and slowing growth abroad--continue to weigh on the economy.   The associated easing of pressures on labor and product markets is expected to keep inflation contained. 



Although continuing favorable trends bolster long-term prospects for productivity growth and the economy the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.   



In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Atlanta Chicago Dallas and San Francisco. 





 

"

21/08/2001,"







		The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-1/2 percent.  In a related action the Board of Governors approved a 25 basis point reduction in the discount rate to 3 percent.  Today's action by the FOMC brings the decline in the target federal funds rate since the beginning of the year to 300 basis points.  



	Household demand has been sustained but business profits and capital spending continue to weaken and growth abroad is slowing weighing on the U. S.  economy.   The associated easing of pressures on labor and product markets is expected to keep inflation contained. 



	Although long-term prospects for productivity growth and the economy remain favorable the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future.   



	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Richmond Chicago Kansas City and Dallas.  





 

"

17/09/2001,"







The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 3 percent.   In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 2-1/2 percent.   The Federal Reserve will continue to supply unusually large volumes of liquidity to the financial markets as needed until more normal market functioning is restored.   As a consequence the FOMC recognizes that the actual federal funds rate may be below its target on occasion in these unusual circumstances. 





	Even before the tragic events of last week employment production and business spending remained weak and last week's events have the potential to damp spending further. 

Nonetheless the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.  For the foreseeable future the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness. 



	In taking the discount rate action the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Richmond Chicago Minneapolis Dallas and San Francisco. 





       

        



 

"

12/11/2001,"







The Federal Open Market Committee decided today to lower its target for the federal funds rate by 25 basis points to 1-3/4 percent.  In a related action the Board of Governors approved a 25 basis point reduction in the discount rate to 1-1/4 percent.  



Economic activity remains soft with underlying inflation likely to edge lower from relatively modest levels.   To be sure weakness in demand shows signs of abating but those signs are preliminary and tentative.   The Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 



Although the necessary reallocation of resources to enhance security may restrain advances in productivity for a time the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate.  



In taking the discount rate action the Federal Reserve Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston New York Philadelphia Chicago and San Francisco.  





 

"

30/01/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent. 



Signs that weakness in demand is abating and economic activity is beginning to firm have become more prevalent.   With the forces restraining the economy starting to diminish and with the long-term prospects for productivity growth remaining favorable and monetary policy accommodative the outlook for economic recovery has become more promising. 



The degree of any strength in business capital and household spending however is still uncertain.   Hence the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future. 







 

"

19/03/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent.   



The information that has become available since the last meeting of the Committee indicates that the economy bolstered by a marked swing in inventory investment is expanding at a significant pace.   Nonetheless the degree of the strengthening in final demand over coming quarters an essential element in sustained economic expansion is still uncertain. 



In these circumstances although the stance of monetary policy is currently accommodative the Committee believes that for the foreseeable future against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals.   



The Committee decided to include in its announcements following its meetings the roll call of the vote on the federal funds rate target including the preferred policy choice of any dissenters.   This action accelerates the release of this information currently available in the Minutes with a lag.   To conform to this new practice the Board of Governors also decided to report in the written announcement the roll call of any vote on the discount rate also including the preferred policy choice of any dissenters. 



 ;  J.   Vice ; Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern. 





 

"

11/06/2002,"







The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 1 1/4 percent.  In a related action the Board of Governors approved a 50 basis point reduction in the discount rate to 3/4 percent.  



	The Committee continues to believe that an accommodative stance of monetary policy coupled with still-robust underlying growth in productivity is providing important ongoing support to economic activity.   However incoming economic data have tended to confirm that greater uncertainty in part attributable to heightened geopolitical risks is currently inhibiting spending production and employment.   Inflation and inflation expectations remain well contained. 



	In these circumstances the Committee believes that today's additional monetary easing should prove helpful as the economy works its way through this current soft spot.   With this action the Committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals in the foreseeable future. 



	Voting for the FOMC monetary policy action were ;  J.   Vice ; Ben S.  Bernanke Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Donald L.  Kohn Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern.   



	In taking the discount rate action the Federal Reserve Board approved the requests submitted by the Boards of Directors of the Federal Reserve Banks of Dallas and New York. 









 

"

26/06/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.  



The information that has become available since the last meeting of the Committee confirms that economic activity is continuing to increase.  However both the upward impetus from the swing in inventory investment and the growth in final demand appear to have moderated.   The Committee expects the rate of increase of final demand to pick up over coming quarters supported in part by robust underlying growth in productivity but the degree of the strengthening remains uncertain.  



In these circumstances although the stance of monetary policy is currently accommodative the Committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals.  



 ;  J.   Vice ; Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern.  



Voting against the action: none. 







 

"

05/07/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.  



The information that has become available since the last meeting of the Committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment.   Nonetheless the degree of the strengthening in final demand over coming quarters an essential element in sustained economic expansion is still uncertain.  



In these circumstances although the stance of monetary policy is currently accommodative the Committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals. 

 

 ;  J.   Vice ; Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern.  



Voting against the action: none. 











 

"

13/08/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.  



The softening in the growth of aggregate demand that emerged this spring has been prolonged in large measure by weakness in financial markets and heightened uncertainty related to problems in corporate reporting and governance. 



 The current accommodative stance of monetary policy coupled with still-robust underlying growth in productivity should be sufficient to foster an improving business climate over time. 



Nonetheless the Committee recognizes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness. 



Voting for the FOMC monetary policy action were ;  J.   Vice ; Ben S.  Bernanke Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Donald L.  Kohn Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern.  





 

"

24/09/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent.  



The information that has become available since the last meeting of the Committee suggests that aggregate demand is growing at a moderate pace. 



Over time the current accommodative stance of monetary policy coupled with still robust underlying growth in productivity should be sufficient to foster an improving business climate.  However considerable uncertainty persists about the extent and timing of the expected pickup in production and employment owing in part to the emergence of heightened geopolitical risks. 



Consequently the Committee believes that for the foreseeable future against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness. 



 ;  J.   Vice ; Ben S.  Bernanke; Susan S.  Bies; Roger W.  Ferguson Jr. ; Jerry L.  Jordan; Donald L.  Kohn; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern.   



Voting against the action were: Edward M.  Gramlich and Robert D.  McTeer Jr. 



Governor Gramlich and President McTeer preferred a reduction in the target for the federal funds rate. 







 

"

12/10/2002,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. 

The Committee continues to believe that this accommodative stance of monetary policy coupled with still robust underlying growth in productivity is providing important ongoing support to economic activity.   The limited number of incoming economic indicators since the November meeting taken together are not inconsistent with the economy working its way through its current soft spot. 

In these circumstances the Committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals for the foreseeable future. 

Voting for the FOMC monetary policy action were ;  J.   Vice ; Ben S.  Bernanke Susan S.  Bies; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jerry L.  Jordan; Donald L.  Kohn Robert D.  McTeer Jr. ; Mark W.  Olson; Anthony M.  Santomero and Gary H.  Stern. 









 

"

29/01/2003,"







The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent.  



Oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses.   However the Committee believes that as those risks lift as most analysts expect the accommodative stance of monetary policy coupled with ongoing growth in productivity will provide support to an improving economic climate over time. 



In these circumstances the Committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals for the foreseeable future.  



Voting for the FOMC monetary policy action were ;  J.   Vice ; Ben S.  Bernanke Susan S.  Bies; J.  Alfred Broaddus Jr. ; Roger W.  Ferguson Jr. ; Edward M.  Gramlich; Jack Guynn; Donald L.  Kohn; Michael H.  Moskow; Mark W.  Olson and Robert T.  .  









 

"

18/03/2003,"







 

The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. 



While incoming economic data since the January meeting have been mixed recent labor market indicators have proven disappointing.   However the hesitancy of the economic expansion appears to owe importantly to oil price premiums and other aspects of geopolitical uncertainties.   The Committee believes that as those uncertainties lift as most analysts expect the accommodative stance of monetary policy coupled with ongoing growth in productivity will provide support to economic activity sufficient to engender an improving economic climate over time. 



